Entity,Code,Year,Cantril ladder score,GDP per capita
Afghanistan,AFG,2020,2.5229,1970.5602
Albania,ALB,2020,5.1174,13191.952
Armenia,ARM,2020,5.2826,12619.893
Austria,AUT,2020,7.2678,51857.69
Australia,AUS,2020,7.1835,48678.684
Bangladesh,BGD,2020,5.0246,4871.4463
Bolivia,BOL,2020,5.7159,7845.171
Bosnia and Herzegovina,BIH,2020,5.8131,14509.266
Bulgaria,BGR,2020,5.2655,22379.094
Burkina Faso,BFA,2020,4.8338,2155.7693
Cambodia,KHM,2020,4.8304,4191.5664
Cameroon,CMR,2020,5.1418,3666.4106
Canada,CAN,2020,7.1033,46064.254
Chile,CHL,2020,6.1719,23324.525
China,CHN,2020,5.3391,16315.815
Colombia,COL,2020,6.0124,13448.933
Congo,COG,2020,5.3417,3433.959
Costa Rica,CRI,2020,7.0694,19903.14
Croatia,HRV,2020,5.8817,27076.979
Denmark,DNK,2020,7.6195,55819.91
Ecuador,ECU,2020,5.764,10329.199
El Salvador,SLV,2020,6.0605,7982.626
Ethiopia,ETH,2020,4.2747,2296.8274
Finland,FIN,2020,7.8421,47154.426
France,FRA,2020,6.6899,42320.523
Gabon,GAB,2020,4.8518,14320.845
Georgia,GEO,2020,4.8914,13966.326
Germany,DEU,2020,7.1545,51423.234
Guatemala,GTM,2020,6.4345,8393.284
Honduras,HND,2020,5.9192,5138.3853
Hong Kong,HKG,2020,5.4767,56153.973
India,IND,2020,3.8189,6165.7466
Indonesia,IDN,2020,5.3445,11444.961
Iran,IRN,2020,4.7212,12644.445
Italy,ITA,2020,6.4831,39073.414
Japan,JPN,2020,5.9405,40232.21
Jordan,JOR,2020,4.3946,9816.555
Liberia,LBR,2020,4.6252,1392.0049
Luxembourg,LUX,2020,7.3244,112557.31
Madagascar,MDG,2020,4.2085,1463.865
